publication_view.author;publication_view.publication_title;publication_view.publication_year
Stratan, I.;Asezarea paleolitica de la Cosava;1965;
Street, M.;Plaidter Hummerich: An early Weichselian middle palaeolithic site in the Central Rhineland, Germany;2002;
Stremme, H.;Die Säugetiere mit Ausnahme der Proboscidier;1911;
Striegler, R.;Beschreibung des eem-interglazialen Seebeckens von Schönfeld, Kreis Calau;1991;
Striegler, R.;Die Europäische Sumpfschildkröte (Emys orbicularis) im Eem von Jänschwalde, Niederlausitz;2016;
Stringer, C.;The status of Homo heidelbergensis (Schoetensack 1908);2012;
Stringer, C.B., Bergman, C.A.;Fifty years after: Egbert, an early Upper Palaeolithic juvenile from Ksar Akil, Lebanon;1989;
Stringer, C.B., Dean, M.C.;Age at death of Gibraltar 2 - a reply;1997;
Stringer, C.B., Grün, R., Schwarcz, H.P., Goldberg, P.;ESR dates for the hominid burial site of Es Skhul in Israel;1989;
Stringer, C.B., Howell, F.C., Melentis, J.K.;The significance of the fossil hominid skull from Petralona, Greece;1979;
Stringer, C.B., Hublin, J.;New age estimates for the Swanscombe hominid, and their significance for human evolution;1999;
Strobl, J., Obermaier, H.;Die Aurignacienstation von Krems (N.-Ö.);1909;
Stynder, D.D., Ackermann, R.R., Sealy, J.C.;Early to mid-Holocene South African Later Stone Age human crania exhibit a distinctly Khoesan morphological pattern;2007;
Stynder, D.D., Brock, F., Sealy, J.C., Wurz, S., Morris, A.G., Volman, T.P.;A mid-Holocene AMS 14C date for the presumed upper Pleistocene human skeleton from Peers Cave, South Africa;2009;
Stynder, D.D., Moggi-Cecchi, J., Berger, L.R., Parkington, J.E.;Human mandibular incisors from the late Middle Pleistocene locality of Hoedjiespunt 1, South Africa;2001;
Sun, H., Zhao, J.-x., Shen, G., Cao, B., Che, X., Liu, D.;U-Th dating of a Paleolithic site in Guanyindong Cave, Guizhou Province, southwestern China;2019;
Sun, H.-S., Zhao, J.-x., Shen, G., Cao, B., Che, X., Liu, D.;U-Th dating of a Paleolithic site in Guanyindong Cave, Guizhou Province, southwestern China;2019;
Sun, J.;Loessology;2005;
Suraprasit, K., Jaeger, J.-J., Chaimanee, Y., Benammi, M., Chavasseau, O., Yamee, C., Tian, P., Panha, S.;A complete skull of Crocuta crocuta ultima indicates a late Middle Pleistocene age for the Khok Sung (northeastern Thailand) vertebrate fauna;2015;
Suraprasit, K., Jaeger, J.-J., Chaimanee, Y., Chavasseau, O., Yamee, C., Tian, P., Panha, S.;The middle Pleistocene vertebrate fauna from Khok Sung (Nakhon Ratchasima, Thailand): biochronological and paleobiogeographical implications;2016;
Susman, R.L.;New hominid fossils from the Swartkrans formation (1979-1986 excavations): Postcranial specimens;1989;
Susman, R.L., de Ruiter, D., Brain, C.K.;Recently identified postcranial remains of Paranthropus and Early Homo from Swartkrans Cave, South Africa;2001;
Sutton, M.B., Pickering, T.R., Pickering, R., Brain, C.K., Clarke, R.J., Heaton, J.L., Kuman, K.;Newly discovered fossil- and artifact-bearing deposits, uranium-series ages, and Plio-Pleistocene hominids at Swartkrans Cave, South Africa;2009;
Suwa, G., Asfaw, B., Beyene, Y., White, T.D., Katoh, S., Nagaoka, S., Nakaya, H., Uzawa, K., Renne, P., WoldeGabriel, G.;The first skull of Australopithecus boisei;1997;
Suwa, G., Nakaya, H., Asfaw, B., Saegusa, H., Amzaye, A., Kono, R.T., Beyene, Y., Katoh, S.;Plio-Pleistocene Terrestrial Mammal Assemblage from Konso, Southern Ethiopia;2003;
Suwa, G., White, T.D., Howell, F.C.;Mandibular postcanine dentition from the Shungura Formation, Ethiopia: Crown morphology, taxonomic allocations, and Plio-Pleistocene hominid evolution;1996;
Suwa, G.E.N., Asfaw, B., Haile-Selassie, Y., White, T.I.M., Katoh, S., Woldegabriel, G., Hart, W.K., Nakaya, H., Beyene, Y.;Early Pleistocene Homo erectus fossils from Konso, southern Ethiopia;2007;
Svensson, E., Günther, T., Hoischen, A., Hervella, M., Munters, A.R., Ioana, M., Ridiche, F., Edlund, H., van Deuren, R.C., Soficaru, A., de-la-Rua, C., Netea, M.G., Jakobsson, M.;Genome of Peştera Muierii skull shows high diversity and low mutational load in pre-glacial Europe;2021;
Svoboda, J.;A new male burial from Dolni Vestonice;1987;
Svoboda, J.;The Upper Paleolithic burial area at Predmostí: ritual and taphonomy;2008;
Svoboda, J.;The depositional context of the Early Upper Paleolithic human fossils from the Konéprusy (Zlatý kun) and Mladec Caves, Czech Republic;2000;
Svoboda, J., Hladilová, Š., Horáček, I., Kaiser, J., Králík, M., Novák, J., Novák, M., Pokorný, P., Sázelová, S., Smolíková, L., Zikmund, T.;Dolní Věstonice IIa: Gravettian microstratigraphy, environment, and the origin of baked clay production in Moravia;2015;
Svoboda, J., Lozek, V., Vlcek, E.;Hunters between East and West: The Paleolithic of Moravia;2013;
Svoboda, J., Ložek, V., Svitavská-Svobodová, H., Škrdla, P.;Predmosti after 110 Years;1994;
Svoboda, J., Novák, M., Sázelová, S.;Early gravettian occupations at Dolni Vestonice - Pavlov. Comments on the Gravettian Origin;2014;
Svoboda, J., Novák, M., Sázelová, S., Demek, J.;Pavlov I: A large Gravettian site in space and time;2016;
Svoboda, J., Škrdla, P., Ložek, V., Svitavská-Svobodová, H., Frechen, M.;Predmosti II, Excavations 1989-1992;1996;
Svoboda, J.A.;Dolní Věstonice-Pavlov. Place: South Moravia. Time: 30 Thousands Years Ago;2010;
Swainston, S.;The lithic artefacts from Paviland;2000;
Swisher, C.C., Curtis, G.H., Jacob, T., Getty, A.G., Suprijo, A.W.;Age of the Earliest Known Hominids in Java, Indonesia;1994;
Swisher, C.C., Rink, W.J., Antón, S.C., Schwarcz, H.P., Curtis, G.H., Widiasmoro, A.S.;Latest Homo erectusof Java: Potential Contemporaneity with Homo sapiens in Southeast Asia;1996;
Sytnik, A., Koulakovska, L., Usik, V., Geneste, J.-M., Meignen, L., Bohusky, A., Haesaerts, P.;Molodova V. Research of Mousterian site in 1998-1999;2007;
Sytnik, O., Koropetskyi, R.;Paleolitichna stoyanka Kulychivka: kul'turnyi shar IV [Palaeolithic site Kulychivka: cultural horizon IV];2010;
Szabo, B.J., Butzer, K.W.;Uranium-series dating of lacustrine limestones from pan deposits with final Acheulian assemblage at Rooidam, Kimberley district, South Africa;1979;
Szmidt, C., Normand, C., Burr, G.S., Hodgins, G.W.L., LaMotta, S.;AMS 14C dating the Protoaurignacian/Early Aurignacian of Isturitz, France. Implications for Neanderthal-modern human interaction and the timing of technical and cultural innovations in Europe;2010;
Szmidt, C., Pétillon, J.-M., Cattelain, P., Normand, C., Schwab, C.;Premieres dates radiocarbone pour le Magdalenien d'Isturitz (Pyrenees-Atlantiques);2009;
Szmidt, C.C., Brou, L., Jaccottey, L.;Direct radiocarbon (AMS) dating of split-based points from the (Proto) Aurignacian of Trou de la Mère Clochette, Northeastern France. Implications for the characterization of the Aurignacian and the timing of technical innovations in Europe;2010;
Szmidt, C.C., Moncel, M.-H., Daujeard, C.;New data on the Late Mousterian in Mediterranean France: First radiocarbon (AMS) dates at Saint-Marcel Cave (Ardèche);2010;
Sáenz de Buruaga, A.;El Paleolitico Superior de la Cueve de Gatzarria (Zuberoa, Pais Vasco);1991;
Sánchez Fernández, G., Maíllo-fernández, J.M.;Soportes laminares en el musteriense final cantabrico: el nivel 20e de la cueva de El Castillo (Cantabria);2006;
Sánchez-Bandera, C., Oms, O., Blain, H.-A., Lozano-Fernández, I., Bisbal-Chinesta, J.F., Agustí, J., Saarinen, J., Fortelius, M., Titton, S., Serrano-Ramos, A., Luzón, C., Solano-García, J., Barsky, D., Jiménez-Arenas, J.M.;New stratigraphically constrained palaeoenvironmental reconstructions for the first human settlement in Western Europe: The Early Pleistocene herpetofaunal assemblages from Barranco León and Fuente Nueva 3 (Granada, SE Spain);2020;
Sánchez-Marco, A.;Implications of the avian fauna forpaleoecology in the Early Pleistocene ofthe Iberian Peninsula;1999;
Sémah, F., Falguières, C., Grimaud, D., Sémah, H., Sémah, A.-M.;First settlements: Relations between Continental and Insular Southeast Asia;2001;
Taborin, Y.;La parure en coquillage au Paléolithique;1993;
Taimagambetov, Z.;The Paleolithic of Eurasia featuring the case of the stratified site of Shul'binka in Eastern Kazakhstan;2012;
Takai, F.;Fossil Deer from the Yamashita-cho Cave No. 1;1975;
Talamo, S., Blasco, R., Rivals, F., Picin, A., Chacón, M.G., Iriarte, E., López-García, J.M., Blain, H.-A., Arilla, M., Rufà, A., Sánchez-Hernández, C., Andrés, M., Camarós, E., Ballesteros, A., Cebrià, A., Rosell, J., Hublin, J.-J.;The Radiocarbon Approach to Neanderthals in a Carnivore Den Site: a Well-Defined Chronology for Teixoneres Cave (Moià, Barcelona, Spain);2016;
Talamo, S., Hajdinjak, M., Mannino, M.A., Fasani, L., Welker, F., Martini, F., Romagnoli, F., Zorzin, R., Meyer, M., Hublin, J.-J.;Direct radiocarbon dating and genetic analyses on the purported Neanderthal mandible from the Monti Lessini (Italy);2016;
Talamo, S., Nowaczewska, W., Picin, A., Vazzana, A., Binkowski, M., Bosch, M.D., Cercatillo, S., Diakowski, M., Fewlass, H., Marciszak, A., Paleček, D., Richards, M.P., Ryder, C.M., Sinet-Mathiot, V., Smith, G.M., Socha, P., Sponheimer, M., Stefaniak, K., Welker, F., Winter, H., Wiśniewski, A., Żarski, M., Benazzi, S., Nadachowski, A., Hublin, J.-J.;A 41,500 year-old decorated ivory pendant from Stajnia Cave (Poland);2021;
Talamo, S., Peresani, M., Romandini, M., Duches, R., Jéquier, C., Nannini, N., Pastoors, A., Picin, A., Vaquero, M., Weniger, G.-C., Hublin, J.-J.;Detecting Human Presence at the Border of the Northeastern Italian Pre-Alps. 14C Dating at Rio Secco Cave as Expression of the First Gravettian and the Late Mousterian in the Northern Adriatic Region;2014;
Talamo, S., Soressi, M., Roussel, M., Richards, M., Hublin, J.-J.;A radiocarbon chronology for the complete Middle to Upper Palaeolithic transitional sequence of Les Cottés (France);2012;
Taller, A.;Das Magdalénien des Hohle Fels Chronologische Stellung, Lithische Technologie und Funktion der Rückenmesser;2014;
Taller, A., Conard, N.;Das Gravettien der Hohle Fels-Höhle und seine Bedeutung für die kulturelle Evolution des europäischen Jungpaläolithikums;2016;
Taller, A.C.N.;Transition or Replacement? Radiocarbon Dates from Hohle Fels Cave (Alb-Donau-Kreis/D) and the Passage from Aurignacian to Gravettian;2019;
Tamrat, E., Thouveny, N., Taïeb, M., Opdyke, N.D.;Revised magnetostratigraphy of the Plio-Pleistocene sedimentary sequence of the Olduvai Formation (Tanzania);1995;
Tang, C.;A Note on Early Blade Industries from Guanyindong Site, Quizhow Province;1989;
Tappen, M., Adler, D., Ferring, C., Gabunia, M., Vekua, A., Swisher III, C.;Akhalkalaki: the taphonomy of an Early Pleistocene locality in the Republic of Georgia;2002;
Tarasov, P., Bezrukova, E., Karabanov, E., Nakagawa, T., Wagner, M., Kulagina, N., Letunova, P., Abzaeva, A., Granoszewski, W., Riedel, F.;Vegetation and climate dynamics during the Holocene and Eemian interglacials derived from Lake Baikal pollen records;2007;
Tarasov, P., Granoszewski, W., Bezrukova, E., Brewer, S., Nita, M., Abzaeva, A., Oberhänsli, H.;Quantitative reconstruction of the last interglacial vegetation and climate based on the pollen record from Lake Baikal, Russia;2005;
Tartar, E., White, R., Chiotti, L., Cretin, C., Mensan, R.;Quel(s) Aurignacien(s) à l'abri Blanchard (Sergeac, Dordogne, France)? Données des collections d'industrie osseuese conservées aux États-Unis et retour sur le terrain;1994;
Taschini, M.;Il "Protopontiniano" rissiano di Sedia del Diavolo e di Monte delle Gioie (Roma);1967;
Taschini, M.;L'industrie lithique de Grotta Guattari au Mont Circé (Latium): définition culturelle, typologique et chronologique du Pontinien;1979;
Tashak, V.I.;Khronologiya rannego etapa verkhnego paleolita Zapadnogo Zabaikal'ya (po materialam Podzvonkoi) [Сhronology of the early stage of the Upper Palaeolithic of western Transbaikalia (based on materials of Podzvonkaya)];2011;
Tashak, V.I.;Plastiny v industrii sloya 7g paleoliticheskogo mestonakhozhdeniya Barun-Alan-1 v Zapadnom Zabaikal'e [Blade industry in the 7g layer at the Palaeolithic site of Barun-Alan-1, Western Transbaikal];2018;
Tashak, V.I.;Stanovlenie rannego verkhnego paleolita Zapadnogo Zabaikal'ya [The formation of the Early Upper Paleolithic of western Transbaikalia];2014;
Tashak, V.I.;Stratigrafiya i knronologiya paleoliticheskikh pamyatnikov gory Khengerekte (Zapadnoe Zabaikal'e) [Stratigraphy and chronology of the Palaeolithic sites at mount Khengerekte (Western Transbaikal)];2009;
Tashak, V.I., Antonova, Y.E.;Paleoenvironment and peculiarities of stone industry development on Barun-Alan-1 site (Western Transbaikal);2015;
Taskiran, H.;The supply areas of Karain Cave in Southwest Anatolia;2008;
Tauxe, L., Deino, A.D., Behrensmeyer, A.K., Potts, R.;Pinning down the Brunhes/Matuyama and upper Jaramillo boundaries: a reconciliation of orbital and isotopic time scales;1992;
Tavoso, A.;Le Moustérien de la grotte Tournal;1987;
Tavoso, A.;Le remplissage de la grotte Tournal à Bize-Minervois (Aude);1987;
Tchernov, E., Horwitz, L.K.;The Faunal Remains from Evron Quarry in Relation to Other Lower Paleolithic Hominid Sites in the Southern Levant;1994;
Tejero, J.-M., Grimaldi, S.;Assessing bone and antler exploitation at Riparo Mochi (Balzi Rossi, Italy): implications for the characterization of the Aurignacian in South-western Europe;2015;
Tejero, J.M., Bernaldo de Quirós, F.;Evidencias de trabajo en materias duras animales en el Aurinaciense de transicion (Unidad 18) de la cueva de El Castillo (Puente Viesgo, Cantabria);2011;
Teodoridis, V., Bruch, A., Vassio, E., Martinetto, E., Kvacek, Z., Stuchlik, L.;Plio-Pleistocene floras of the Vildštejn Formation in the Cheb Basin, Czech Republic - a floristic and palaeoenvironmental review;2017;
Terberger, K.;Das Lahntalpaläolithikum;1990;
Terberger, T., Böhner, U., Hillgruber, F., Kotula, A.;300.000 Jahre Spitzentechnik. Der altsteinzeitliche Fundplatz Schöningen und die frühesten Speere der Menschheit;2018;
Terberger, T., Street, M., Bräuer, G.;Der menschliche Schädelrest aus der Elbe bei Hahnöfersand und seine Bedeutung für die Steinzeit Norddeutschlands;2001;
Terberger, T., Winghart, S.;Die Geologie der paläolithischen Fundstellen von Schöningen;2015;
Terhorst, B., Kühn, P., Damm, B., Hambach, U., Meyer-Heintze, S., Sedov, S.;Paleoenvironmental fluctuations as recorded in the loess-paleosol sequence of the Upper Paleolithic site Krems Wachtberg;2014;
Terradillos-Bernal, M., Rodríguez-Álvarez, X.-P.;The influence of raw material qualities in the lithic technology of Gran Dolina (Units TD6 and TD10) and Galería (Sierra de Atapuerca, Burgos, Spain): A view from experimental archeology;2014;
Teschler-Nicola, M.;Der menschliche Zahn aus der Gravettien-Fundstelle von Aggsbach, Niederösterreich - eine Revision;2009;
Teschler-Nicola, M.;Early Modern Humans at the Moravian Gate. The Mladečves and their Remains;2006;
Teschler-Nicola, M., Fernandes, D., Händel, M., Einwögerer, T., Simon, U., Neugebauer-Maresch, C., Tangl, S., Heimel, P., Dobsak, T., Retzmann, A., Prohaska, T., Irrgeher, J., Kennett, D.J., Olalde, I., Reich, D., Pinhasi, R.;Ancient DNA reveals monozygotic newborn twins from the Upper Palaeolithic;2020;
Teschler-Nicola, M., Trinkaus, E.;Human remains from the Austrian Gravettian: the Willendorf femoral diaphysis and mandibular symphysis;2001;
Teschler-Nicola, M.E., Antl-Weiser, W., Prossinger, H.;Two Gravettian human deciduous teeth from Grub/Kranawetberg, Lower Austria;2004;
Testut, L.;Recherches anthropologiques sur le squelette quaternaire de Chancelade, Dordogne;1889;
Texier, J.-P.;Histoire geologique de sites préhistoriques classiques du Périgord: une vision actualisée: La Micoque, La Grotte Vaufrey, Le Pech de l'Azé I et II, La Ferrassie, l'Abri Castanet, Le Flageolet, Laugerie Haute;2009;
Texier, J.-P.;Le site Aterien du Chaperon-Rouge (Maroc) et son contexte geologique;1986;
Texier, J.-P.;Nouvelle lecture geologique du site paleolithique du Pech-de-l Aze II (Dordogne, France);2006;
Texier, J.-P., Huxtable, J., Rhodes, E.J., Miallier, D., Ousmoi, M.;Nouvelles données sur la situation chronologique de l'Atérien du Maroc et leurs implications;1988;
Texier, J.-P., Lefèvre, D., Raynal, J.-P., El Graoui, M.;Lithostratigraphy of the littoral deposits of the last one million years in the Casablanca region (Morocco);2002;
Texier, J.P., Rigaud, J.-P.;A propos des particularités techniques et typologiques du gisement des Tares, commune de Sourzac (Dordogne);1981;
Texier, P.-J.;L'industrie moustérienne de l'abri Pié-Lombard (Tourettes-sur-Loup, Alpes-Maritimes);1974;
Texier, P.-J., Porraz, G., Parkington, J., Rigaud, J.-P., Poggenpoel, C., Miller, C., Tribolo, C., Cartwright, C., Coudenneau, A., Klein, R., Steele, T., Verna, C.;A Howiesons Poort tradition of engraving ostrich eggshell containers dated to 60,000 years ago at Diepkloof Rock Shelter, South Africa;2010;
Texier, P.-J., Porraz, G., Parkington, J.E., Rigaud, J.-P., Poggenpoel, C., Tribolo, C.;The context, form and significance of the MSA engraved ostrich eggshell collection from Diepkloof Rock Shelter, Western Cape, South Africa;2013;
Texier, P.-J., Renault-Miskovky, J., Desclaux, E., de Lumley, M.-A., Porraz, G., Tomasso, A.;L'abri Pié Lombard à Tourrettes-sur-Loups (Alpes-Maritimes): anciennes fouilles, nouvelles données;2011;
Texier, P.-J., Roche, H., Harmand, S.;Kokiselei 5, Formation de Nachukui, West Turkana (Kenya): Un Temoignage de la Variabilite ou de L'evolution des Comportements Techniques au Pleistocene Ancien?;2006;
